Strain,For_profit_price,Non_Profit_price,Genome_Sequence_Availability,Deposited As,Strain_Designation,BSL,Product Format,Culture Medium,Growth_condition,Storage_conditions,Antibiotic Resistance,Comments,Application,Product Sheet,,,,
Mesoplasma florum (McCoy et al.) Tully et al. (ATCC 33453),$605.00 ,$514.25 ,seqeunce available,Acholeplasma florum McCoy et al.,L1,1,freeze-dried,ATCC  1161: Mycoplasma medium (ATCC medium 243) with 4% sucrose,Temperature: 30.0Celsius,NA,NA,NA,NA,https://www.atcc.org/~/ps/33453.ashx,,,,
Rhodobacter sphaeroides (van Niel) Imhoff et al. (ATCC 17029),$550.00 ,$467.50 ,seqeunce available,Rhodopseudomonas spheroides van Niel,ATH 2.4.9,1,freeze-dried,ATCC  112: Van Niel's yeast agar,"Temperature: 30Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Biotechnology,https://www.atcc.org/~/ps/17029.ashx,,,,
Lactococcus lactis subsp. cremoris (Orla-Jensen) Schleifer et al. (ATCC BAA-493),$550.00 ,$467.50 ,NA,NA,"SK11 [EMBU 1958, NCDO 2004, NCDO 2016]",1,freeze-dried,ATCC  416: Lactobacilli MRS Agar/Broth,"Temperature: 30Celsius 
Atmosphere: 5% CO2",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/BAA-493.ashx,,,,
Lactobacillus buchneri (Henneberg) Bergey et al. (ATCC 11577),,,NA,Lactobacillus brevis (Orla-Jensen) Bergey et al.,NA,1,freeze-dried,ATCC  416: Lactobacilli MRS Agar/Broth,"Temperature: 30Celsius 
Atmosphere: Aerobic",Freeze-Dried: 2Celsius  to 8Celsius,NA,NA,NA,https://www.atcc.org/~/ps/11577.ashx,,,,
Rhizobium vitis (Ophel and Kerr) Young et al. (ATCC BAA-846),"For-Profit:
$550.00",,NA,NA,"S4
                                                
                                            (genome sequencing strain)",1,freeze-dried,ATCC  336: Potato dextrose agar (PDA),"Temperature: 30Celsius 


Atmosphere:?? Aerobic",2Celsius  to 8Celsius,NA,NA,NA,https://www.atcc.org/~/ps/BAA-846.ashx,,,,
Granulicella tundricola Mannisto et al. (ATCC BAA-1859),"For-Profit:
$402.00",,NA,NA,MP5ACTX9,1,freeze-dried,ATCC  2258: R2A medium,Temperature: 22Celsius Atmosphere: Aerobic,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-1859.ashx,,,,
Shewanella frigidimarina Bowman et al. (ATCC BAA-1089),"For-Profit:
$550.00",,seqeunce available,NA,NA,1,freeze-dried,"ATCC  2515: Marine , 1/2 strength",Temperature: 23Celsius Atmosphere: Aerobic,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-1089.ashx,,,,
Desulfotomaculum acetoxidans Widdel and Pfennig (ATCC 49208),"For-Profit:
$402.00",,NA,NA,DSM 771 [5575],1,frozen,ATCC  1964: Desulfotomaculum acetoxidans medium,"Temperature: 37Celsius  in shaking condition
Atmosphere: Anaerobic",NA,NA,NA,Biotechnology,https://www.atcc.org/~/ps/49208.ashx,,,,
Salmonella enterica subsp. enterica (ex Kauffmann and Edwards) Le Minor and Popoff serovar Typhimurium (ATCC BAA-2828),"For-Profit:
$67.00",,NA,Salmonella enterica subsp. enterica serovar Typhimurium,MHM112,2,frozen,"ATCC  1065: LB Agar/Broth, Miller","Temperature: 37Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/BAA-2828.ashx,,,,
Bacillus sp. (ATCC BAA-2756),$550.00 ,$467.50 ,NA,Bacillus sp.,VT-13-104,1,frozen,"ATCC  18: Trypticase Soy Agar/Broth
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 37Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/BAA-2756.ashx,,,,
Thermus aquaticus Brock and Freeze (ATCC BAA-2747),"For-Profit:
$402.00",,NA,Thermus aquaticus,Y51MC23,1,frozen,ATCC  461: Castenholz TYE medium,"Temperature: 70Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/BAA-2747.ashx,,,,
Hyphomicrobium nitrativorans (ATCC BAA-2476),$550.00 ,$467.50 ,NA,NA,NL23,1,freeze-dried,ATCC  2883: Modified 337a Agar/Broth,"Temperature: 30Celsius 

Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/BAA-2476.ashx,,,,
Thermodesulfobacterium geofontis Hamilton-Brehm et al. (ATCC BAA-2454),"For-Profit:
$402.00",,NA,Thermodesulfobacterium geofontis,OPF15,1,frozen,ATCC  2879: OPF15,"Temperature: 80Celsius 
Atmosphere: Anaerobic gas mixture, 80% H2-20% CO2",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/BAA-2454.ashx,,,,
Sulfitobacter sp. (ATCC BAA-1142),"For-Profit:
$550.00",,seqeunce available,NA,EE-36,1,freeze-dried,ATCC  2: Marine agar 2216  or marine broth 2216,Temperature: 26.0Celsius,2Celsius  to 8Celsius,NA,NA,NA,https://www.atcc.org/~/ps/BAA-1142.ashx,,,,
Archaeoglobus fulgidus Stetter (ATCC 49558),$605.00 ,$514.25 ,seqeunce available,NA,DSM 4304 [ATCC 49203],1,frozen,ATCC  1775: Archaeoglobus medium (DSM 399),Temperature: 80.0Celsius Atmosphere: Anaerobic,NA,NA,NA,Genome sequencing strainBiotechnology,https://www.atcc.org/~/ps/49558.ashx,,,,
Hyphomonas neptunium (Leifson) Moore et al. (ATCC 15444),$550.00 ,$467.50 ,seqeunce available,Hyphomicrobium neptunium Leifson,14-15 [IFAM LE670],1,freeze-dried,ATCC  2: Marine agar 2216  or marine broth 2216,Temperature: 26.0Celsius,NA,NA,NA,NA,https://www.atcc.org/~/ps/15444.ashx,,,,
Shewanella loihica (ATCC BAA-1088),"For-Profit:
$550.00",,seqeunce available,Shewanella sp.,PV-4,1,freeze-dried,ATCC  18: Trypticase Soy Agar/Broth,Temperature: 22.0Celsius,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-1088.ashx,,,,
Peptoniphilus indolicus (Christiansen) Ezaki et al. (ATCC 29427),"For-Profit:
$402.00",,NA,Peptococcus indolicus (Christiansen) Sorensen,"R13 [CCM 5987, CCUG 17639, DSM 20464, NCTC 11088]",1,freeze-dried,ATCC  1490: Modified chopped meat medium,Temperature: 37.0Celsius Atmosphere: Anaerobic,NA,NA,NA,NA,https://www.atcc.org/~/ps/29427.ashx,,,,
Geodermatophilus obscurus Luedemann (ATCC 25078),"For-Profit:
$550.00",,seqeunce available,NA,D-20,1,freeze-dried,ATCC  172: N-Z amine with soluble starch and glucose,Temperature: 26Celsius Atmosphere: Aerobic,NA,NA,NA,NA,https://www.atcc.org/~/ps/25078.ashx,,,,
Pasteurella multocida (Lehmann and Neumann) Rosenbusch and Merchant (ATCC BAA-1909),"For-Profit:
$402.00",,NA,NA,Pm70,2,NA,ATCC  44: Brain Heart Infusion Agar/Broth,Temperature: 37Celsius Atmosphere: Aerobic,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-1909.ashx,,,,
Shewanella loihica (ATCC BAA-1088),"For-Profit:
$550.00",,seqeunce available,Shewanella sp.,PV-4,1,freeze-dried,ATCC  18: Trypticase Soy Agar/Broth,Temperature: 22.0Celsius,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-1088.ashx,,,,
Peptoniphilus indolicus (Christiansen) Ezaki et al. (ATCC 29427),"For-Profit:
$402.00",,NA,Peptococcus indolicus (Christiansen) Sorensen,"R13 [CCM 5987, CCUG 17639, DSM 20464, NCTC 11088]",1,freeze-dried,ATCC  1490: Modified chopped meat medium,Temperature: 37.0Celsius Atmosphere: Anaerobic,NA,NA,NA,NA,https://www.atcc.org/~/ps/29427.ashx,,,,
Bacillus selenitireducens Switzer Blum et al. (ATCC 700615),"For-Profit:
$550.00",,seqeunce available,NA,MLS10,1,freeze-dried,ATCC  2100: Bacillus haloalkaliphile medium,Temperature: 26.0Celsius Atmosphere: Anaerobic,NA,NA,NA,Biotechnology,https://www.atcc.org/~/ps/700615.ashx,,,,
Anaerobaculum hydrogeniformans (ATCC BAA-1850),"For-Profit:
$402.00",,NA,NA,OS1,1,freeze-dried,NA,Temperature: 55Celsius Atmosphere: Anaerobic; 100% N2,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-1850.ashx,,,,
Xanthobacter autotrophicus (Baumgarten et al.) Wiegel et al. (ATCC BAA-1158),$550.00 ,$467.50 ,seqeunce available,NA,Py2,1,freeze-dried,ATCC  3: Nutrient agar or nutrient broth,"Temperature: 30Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/BAA-1158.ashx,,,,
Kytococcus sedentarius (ZoBell and Upham) Stackebrandt et al. (ATCC 14392),"For-Profit:
$402.00",,NA,Micrococcus sedentarius ZoBell and Upham,"54 [CCM 314, DSM 20547]",1,freeze-dried,ATCC  2: Marine agar 2216  or marine broth 2216,"Temperature: 26.0Celsius 
Atmosphere:?? Aerobic",2Celsius  to 8Celsius,NA,NA,NA,https://www.atcc.org/~/ps/14392.ashx,,,,
Mannheimia haemolytica (Newsom and Cross) Angen et al. (ATCC BAA-410),"For-Profit:
$402.00",,NA,NA,SH789 [PH213],2,freeze-dried,ATCC  44: Brain Heart Infusion Agar/Broth,Temperature: 37Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/BAA-410.ashx,,,,
Heliobacterium modesticaldum Kimble et al. (ATCC 51547),"For-Profit:
$550.00",,seqeunce available,NA,Ice1,1,frozen,ATCC  2061: PYE MEDIUM,Temperature: 50.0Celsius Atmosphere: Anaerobic under light,-80Celsius  or colder,NA,NA,Biotechnology,https://www.atcc.org/~/ps/51547.ashx,,,,
Pediococcus pentosaceus Mees (ATCC 25745),"For-Profit:
$550.00",,seqeunce available,NA,183-1w [CCM 2483],1,freeze-dried,ATCC  416: Lactobacilli MRS Agar/Broth,Temperature: 37.0Celsius,NA,NA,NA,NA,https://www.atcc.org/~/ps/25745.ashx,,,,
Chthoniobacter flavus (ATCC BAA-1822),"For-Profit:
$402.00",,NA,NA,Ellin428,1,freeze-dried,ATCC  2734: VL55,Temperature: 26Celsius Atmosphere: Aerobic,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-1822.ashx,,,,
Jonesia denitrificans (Prevot) Rocourt et al. (ATCC 14870),"For-Profit:
$550.00",,seqeunce available,Listeria denitrificans Prevot,"55134 [CIP 55134, IFO 15587, NCTC 10816]",1,freeze-dried,ATCC  44: Brain Heart Infusion Agar/Broth,Temperature: 30.0Celsius,NA,NA,NA,NA,https://www.atcc.org/~/ps/14870.ashx,,,,
Geodermatophilus obscurus Luedemann (ATCC 25078),"For-Profit:
$550.00",,seqeunce available,NA,D-20,1,freeze-dried,ATCC  172: N-Z amine with soluble starch and glucose,Temperature: 26Celsius Atmosphere: Aerobic,NA,NA,NA,NA,https://www.atcc.org/~/ps/25078.ashx,,,,
Pasteurella multocida (Lehmann and Neumann) Rosenbusch and Merchant (ATCC BAA-1909),"For-Profit:
$402.00",,NA,NA,Pm70,2,NA,ATCC  44: Brain Heart Infusion Agar/Broth,Temperature: 37Celsius Atmosphere: Aerobic,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-1909.ashx,,,,
Clostridium frigidicarnis Broda et al. (ATCC BAA-154),$550.00 ,$467.50 ,NA,NA,SPL77A [DSM 12271],1,freeze-dried,"ATCC  2107: Modified Reinforced Clostridial
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood","Temperature: 30Celsius 
Atmosphere: Anaerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/BAA-154.ashx,,,,
Aliivibrio fischeri (Beijerinck) Urbanczyk et al. (ATCC BAA-1741),"For-Profit:
$402.00",,NA,NA,MJ11,1,freeze-dried,ATCC  2: Marine agar 2216  or marine broth 2216,Temperature: 30Celsius Atmosphere: Aerobic,Freeze-Dried: 2Celsius  to 8Celsius,NA,NA,NA,https://www.atcc.org/~/ps/BAA-1741.ashx,,,,
Thermotoga maritima Huber et al. (ATCC 43589),"For-Profit:
$402.00",,NA,NA,DSM 3109 [MSB8],1,frozen,ATCC  2114: Thermotoga medium,Temperature: 70Celsius Atmosphere: Anaerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Biotechnology,https://www.atcc.org/~/ps/43589.ashx,,,,
Idiomarina loihiensis Donachie et al. (ATCC BAA-735),$605.00 ,$514.25 ,seqeunce available,NA,L2-TR [DSM 15497],1,freeze-dried,ATCC  2: Marine agar 2216  or marine broth 2216,Temperature: 30.0Celsius Atmosphere: Aerobic,NA,NA,NA,Biotechnology,https://www.atcc.org/~/ps/BAA-735.ashx,,,,
Campylobacter curvus (Tanner et al.) Vandamme et al. (ATCC BAA-1459),"For-Profit:
$550.00",,NA,NA,"RM 4077 [525.92, cc8, NR-438]",2,freeze-dried,"ATCC  1540: Brucella broth with formate and fumarate
ATCC  1645: Trypticase soy agar with 5% defibrinated sheep blood, formate and fumarate","Temperature: 37Celsius 
Atmosphere: Anaerobic",2Celsius  to 8Celsius,NA,NA,NA,https://www.atcc.org/~/ps/BAA-1459.ashx,,,,
Helicobacter winghamensis Melito et al. (ATCC BAA-430),"For-Profit:
$402.00",,NA,NA,NLEP 97-1090,2,frozen,"ATCC  18: Trypticase Soy Agar/Broth
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood",Temperature: 37Celsius Atmosphere: Microaerophilic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/BAA-430.ashx,,,,
Rhodopseudomonas palustris (Molisch) van Niel (ATCC BAA-1123),"For-Profit:
$336.00",,seqeunce available,NA,BisB5,1,frozen,ATCC  2657: PMSY,Temperature: 26-30Celsius Atmosphere: Anaerobic under a tungsten lamp,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-1123.ashx,,,,
Sebaldella termitidis (Sebald) Collins and Shah (ATCC 33386),"For-Profit:
$550.00",,seqeunce available,Bacteroides termitidis (Sebald) Holdeman and Moore,NCTC 11300,2,freeze-dried,ATCC  1490: Modified chopped meat medium,Temperature: 37.0Celsius Atmosphere: Anaerobic,NA,NA,NA,NA,https://www.atcc.org/~/ps/33386.ashx,,,,
Bacillus pseudofirmus Nielsen et al. (ATCC BAA-2126),"For-Profit:
$402.00",,NA,NA,OF4,1,freeze-dried,ATCC  2029: Nutrient agar pH 9.0,Temperature: 37Celsius Atmosphere: aerobic,2Celsius  to 8Celsius,NA,NA,NA,https://www.atcc.org/~/ps/BAA-2126.ashx,,,,
Thermotoga lettingae Balk et al. (ATCC BAA-301),$550.00 ,$467.50 ,NA,NA,TMO [DSM 14385],1,frozen,"ATCC  2632: Modified Thermotoga elfii medium
ATCC  2632: Modified Thermotoga elfii medium
ATCC  2299: Archaeoglobus medium (DSM 399)","Temperature: 65.0Celsius Atmosphere: Under a gas mixture of 80% N2, 20% CO2",NA,NA,NA,Degrades methanolBiotechnology,https://www.atcc.org/~/ps/BAA-301.ashx,,,,
Salmonella enterica subsp. enterica (ex Kauffmann and Edwards) Le Minor and Popoff serovar Muenchen (ATCC BAA-1674),"For-Profit:
$550.00",,seqeunce available,NA,MZ1477 [SARB 34],2,freeze-dried,ATCC  18: Trypticase Soy Agar/Broth,Temperature: 37Celsius Atmosphere: Aerobic,NA,NA,NA,Emerging infectious disease research,https://www.atcc.org/~/ps/BAA-1674.ashx,,,,
Marinobacter hydrocarbonoclasticus Gauthier et al. (ATCC 700491),"For-Profit:
$336.00",,seqeunce available,Marinobacter aquaeolei Nguyen et al.,VT8 [DSM 11845],1,dried,ATCC  2084: Halomonas medium,Temperature: 30Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,Sensitive to chloramphenicolSensitive to erythromycinSensitive to gentamycinSensitive to kanamycinSensitive to streptomycin,NA,Biotechnology,https://www.atcc.org/~/ps/700491.ashx,,,,
Granulibacter bethesdensis Greenberg et al. (ATCC BAA-1260),$550.00 ,$467.50 ,seqeunce available,NA,CGDNIH1,2,freeze-dried,"ATCC  44: Brain Heart Infusion Agar/Broth
ATCC  44: Brain Heart Infusion Agar/Broth
ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood",Atmosphere: 5% CO2 in air recommendedTemperature: 37.0Celsius,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-1260.ashx,,,,
Aeropyrum pernix Sako et al. (ATCC 700893),,,NA,NA,"JCM 9820 [DSM 11879, K1, Nomura K1]",1,frozen,ATCC  2183: Aeropyrum pernix,Temperature: 90Celsius Atmosphere: Aerobic,Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Biotechnology,https://www.atcc.org/~/ps/700893.ashx,,,,
Oligotropha carboxidovorans (Kistner) Meyer et al. (ATCC 49405),$550.00 ,$467.50 ,NA,Pseudomonas carboxydovorans Meyer and Schlegel,DSM 1227 [OM5],1,freeze-dried,ATCC  1789: Carboxydobacterium medium,Temperature: 30.0Celsius,NA,NA,NA,Produces carbon monoxide-methylene blue oxidoreductase carbon monoxide:methylene blue oxidoreductase,https://www.atcc.org/~/ps/49405.ashx,,,,
Halogeometricum borinquense Montalvo-Rodriguez et al. (ATCC 700274),$550.00 ,$467.50 ,NA,NA,PR3 [JCM 10706],1,freeze-dried,ATCC  213: Halobacterium medium,Temperature: 37.0Celsius Atmosphere: Aerobic,NA,NA,NA,NA,https://www.atcc.org/~/ps/700274.ashx,,,,
Methanococcus voltae Balch and Wolfe (ATCC BAA-1334),"For-Profit:
$314.00",,NA,NA,A3,1,frozen,ATCC  1439: Methanogenium medium,"Atmosphere: hydrogen (H2), 80%; carbon dioxide (CO2), 20%Temperature: 37.0Celsius",NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-1334.ashx,,,,
Acidothermus cellulolyticus Mohagheghi et al. (ATCC 43068),"For-Profit:
$550.00",,seqeunce available,NA,11B,1,freeze-dried,ATCC  1473: LPBM acido-thermophile medium,"Temperature: 55Celsius 
Atmosphere: Aerobic",NA,NA,NA,Biotechnology,https://www.atcc.org/~/ps/43068.ashx,,,,
Methanococcus vannielii Stadtman and Barker (ATCC 35089),$550.00 ,$467.50 ,NA,NA,DSM 1224 [SB],1,frozen,ATCC  2467: MS - OCM Base,Temperature: 37.0Celsius Atmosphere: Anaerobic; 80% H2- 20% CO2,NA,NA,NA,Biotechnology,https://www.atcc.org/~/ps/35089.ashx,,,,
Shewanella amazonensis Venkateswaran et al. (ATCC 700329),$550.00 ,$467.50 ,NA,NA,SB2B [CIP 105786],1,freeze-dried,"ATCC  1065: LB Agar/Broth, Miller",Temperature: 37.0Celsius Atmosphere: Aerobic,NA,NA,NA,"Reduces iron, manganese, and sulfur compounds",https://www.atcc.org/~/ps/700329.ashx,,,,
Cryptobacterium curtum Nakazawa et al. (ATCC 700683),"For-Profit:
$550.00",,NA,NA,12-3 [D12-3],1,freeze-dried,ATCC  1053: Reinforced Clostridial medium (Oxoid CM149),Temperature: 37.0Celsius Atmosphere: Anaerobic,NA,NA,NA,Rflp analysis,https://www.atcc.org/~/ps/700683.ashx,,,,
Bartonella vinsonii subsp. arupensis Welch et al. (ATCC BAA-2250),"For-Profit:
$402.00",,NA,NA,OK 94-513,2,frozen,ATCC  260: Trypticase soy agar/broth with defibrinated sheep blood,Temperature: 37Celsius Atmosphere: 5% CO2,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-2250.ashx,,,,
Methanothermobacter thermautotrophicus (Zeikus and Wolfe) Wasserfallen et al. (ATCC 29096),"For-Profit:
$402.00",,NA,Methanobacterium thermoautotrophicum Zeikus and Wolfe,"Delta-H [DSM 1053, JCM 10044, OCM 143, VKM B-1908]",1,frozen,ATCC  2133: OSU967,"Temperature: 65.0Celsius Atmosphere: Under a gas mixture of 80% H2, 20% CO2",NA,NA,NA,"Produces coenzyme F420Produces factor 420 7,8-didemethyl-8-hydroxy-5-deazariboflavinBiotechnology",https://www.atcc.org/~/ps/29096.ashx,,,,
Thermobaculum terrenum (ATCC BAA-798),"For-Profit:
$402.00",,seqeunce available,NA,YNP1,1,freeze-dried,ATCC  1981: M-R2A medium,Temperature: 55.0Celsius Atmosphere: Aerobic,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-798.ashx,,,,
Thermotoga petrophila Takahata et al. (ATCC BAA-488),"For-Profit:
$550.00",,seqeunce available,NA,"JCM 10881 [DSM 13995, RKU-1]",1,freeze-dried,ATCC  2332: Thermotoga petrophila medium,Temperature: 70.0Celsius Atmosphere: Anaerobic,NA,NA,NA,Biotechnology,https://www.atcc.org/~/ps/BAA-488.ashx,,,,
Chitinophaga pinensis Sangkhobol and Skerman (ATCC 43595),"For-Profit:
$550.00",,seqeunce available,NA,"NCIB 11800 [ACM 2034, DSM 2588, UQM 2034]",1,freeze-dried,ATCC  1565: Casitone yeast extract agar,"Temperature: 26Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,Degrades chitin,https://www.atcc.org/~/ps/43595.ashx,,,,
Thermobaculum terrenum (ATCC BAA-798),"For-Profit:
$550.00",,seqeunce available,NA,YNP1,1,freeze-dried,ATCC  1981: M-R2A medium,Temperature: 55.0Celsius Atmosphere: Aerobic,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-798.ashx,,,,
Thermotoga petrophila Takahata et al. (ATCC BAA-488),"For-Profit:
$550.00",,seqeunce available,NA,"JCM 10881 [DSM 13995, RKU-1]",1,freeze-dried,ATCC  2332: Thermotoga petrophila medium,Temperature: 70.0Celsius Atmosphere: Anaerobic,NA,NA,NA,Biotechnology,https://www.atcc.org/~/ps/BAA-488.ashx,,,,
Methanococcus maripaludis Jones et al. (ATCC BAA-1331),$550.00 ,$467.50 ,NA,NA,C7,1,frozen,ATCC  1439: Methanogenium medium,"Atmosphere: hydrogen (H2), 80%; carbon dioxide (CO2), 20%Temperature: 37.0Celsius",NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-1331.ashx,,,,
Rhodopseudomonas palustris (Molisch) van Niel (ATCC BAA-1125),$550.00 ,$467.50 ,seqeunce available,NA,BisA53,1,frozen,ATCC  2657: PMSY,"Temperature: 26Celsius 
Atmosphere: Aerobic",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,NA,https://www.atcc.org/~/ps/BAA-1125.ashx,,,,
Thermomicrobium roseum Jackson et al. (ATCC 27502),"For-Profit:
$402.00",,NA,NA,P-2 [DSM 5159],1,freeze-dried,ATCC  655: Thermobacterium medium,Temperature: 70.0Celsius,NA,NA,NA,NA,https://www.atcc.org/~/ps/27502.ashx,,,,
Geobacter lovleyi (ATCC BAA-1151),$550.00 ,$467.50 ,NA,NA,SZ,1,freeze-dried,ATCC  2635: Desulfuromonas michiganenesis,"Temperature: 26Celsius 
Atmosphere: Anaerobic gas mixture, 80% N2, 20% CO2",Frozen: -80Celsius  or colderFreeze-Dried: 2Celsius  to 8Celsius Live Culture: See Propagation Section,NA,NA,"Dechlorinates polychloroethylenes (PCE)Reduces iron (ferric, FeIII) ferric iron",https://www.atcc.org/~/ps/BAA-1151.ashx,,,,
,"For-Profit:
$402.00",,seqeunce available,NA,MP5ACTX8,1,freeze-dried,ATCC  2258: R2A medium,Temperature: 22Celsius Atmosphere: Aerobic,NA,NA,NA,NA,https://www.atcc.org/~/ps/BAA-1857.ashx,,,,
Pyrococcus horikoshii Gonzalez et al. (ATCC 700860),"For-Profit:
$550.00",,NA,NA,JCM 9974 [DSM 12428],1,freeze-dried,ATCC  1915: Pyrococcus medium (DSM medium 377),Temperature: 95.0Celsius Atmosphere: Under 100% N2,NA,NA,NA,Biotechnology,https://www.atcc.org/~/ps/700860.ashx,,,,
Thermoplasma acidophilum Darland et al. (ATCC 25905),$550.00 ,$467.50 ,NA,NA,"122-1B2 [AMRC C165, DSM 1728]",1,frozen,ATCC  569: Thermoplasma medium,Temperature: 60.0Celsius,NA,NA,NA,Biotechnology,https://www.atcc.org/~/ps/25905.ashx,,,,
